origin destination reason MODO HMV RED duration distance strata age gender FEV ID 
362 6 1 4 6.75 AM 90 6.4112 s_1 50 1 30.46298507 1 
6 362 6 2 19.25 PM 30 6.4112 s_1 50 1 32.75589793 1 
362 36 1 4 8.5 AM 60 4.478 s_1 40 2 32.75589793 2 
36 362 6 2 18.75 PM 30 4.478 s_1 40 2 32.75589793 2 
362 253 2 1 5.915 AM 10.2 0.8034 s_1 18 2 32.75589793 3 
253 362 6 1 12.333 MD 10 0.8034 s_1 18 2 32.75589793 3 
362 6 1 4 8.75 AM 30 6.4112 s_1 16 2 32.75589793 4 
6 362 6 4 18.25 PM 30 6.4112 s_1 16 2 31.11810303 4 
366 366 7 1 7.875 AM 15 0 s_1 32 2 32.75589793 146 
366 366 6 1 16.125 PM 15 0 s_1 32 2 32.75589793 146 
36 216 6 2 19.125 PM 45 4.9562 s_1 38 1 51.03515625 147 
216 36 1 2 5.625 AM 75 4.9562 s_1 38 1 51.03515625 147 
36 216 6 2 19.125 PM 45 4.9562 s_1 38 1 51.03515625 147 
312 216 6 4 17.875 PM 75 15.5356 s_1 39 2 55.42417969 148 
216 312 1 4 6 AM 60 15.5356 s_1 39 2 61.2421875 148 
312 216 6 4 17.875 PM 75 15.5356 s_1 39 2 55.42417969 148 
359 216 6 1 17.875 PM 15 0.2507 s_1 9 2 51.03515625 149 
216 359 4 1 11.083 MD 10 0.2507 s_1 9 2 51.03515625 149 
359 216 6 1 17.875 PM 15 0.2507 s_1 9 2 51.03515625 149 
366 151 1 2 7.5 AM 60 8.5562 s_1 27 2 29.48030814 336 
151 366 6 2 16.5 PM 60 8.5562 s_1 27 2 32.75589793 336 
366 366 2 1 6.85 AM 12 0 s_1 9 2 32.75589793 337 
366 366 6 1 12.1 MD 12 0 s_1 9 2 32.75589793 337 
366 366 2 1 6.875 AM 15 0 s_1 8 2 32.75589793 338 
366 366 6 1 12.1 MD 12 0 s_1 8 2 32.75589793 338 
366 60 1 2 6.38 AM 45 7.6341 s_1 38 1 32.76 526 
60 366 6 2 17.33 PM 40 7.6341 s_1 38 1 32.76 526 
366 366 2 1 7.71 AM 5 0 s_1 5 2 32.76 527 
364 12 1 2 8.25 AM 30 5.1707 s_2 42 1 71.02093945 5 
12 364 6 2 20.75 PM 30 5.1707 s_2 42 1 71.02093945 5 
364 339 1 2 13.083 MD 70 28.1706 s_2 20 2 71.02093945 6 
339 364 6 2 22.5 MN 60 28.1706 s_2 20 2 71.02093945 6 
364 353 2 1 11.25 MD 30 0.5703 s_2 18 2 71.02093945 7 
354 364 6 1 16.125 PM 15 0.4056 s_2 18 2 71.02093945 7 
216 312 1 4 19.5 PM 60 15.5356 s_2 30 1 41.84010417 8 
312 216 6 4 6.75 AM 90 15.5356 s_2 30 1 38.07449479 8 
216 216 2 1 11.083 MD 10 0 s_2 7 2 41.84010417 10 
216 216 6 1 16.915 PM 10.2 0 s_2 7 2 41.84010417 10 
216 216 2 1 11.083 MD 10 0 s_2 6 1 41.84010417 11 
216 216 6 1 16.915 PM 10.2 0 s_2 6 1 41.84010417 11 
216 15 1 2 20.17 PM 20 4.836 s_2 45 1 41.84 28 
15 216 6 2 9.17 AM 20 4.836 s_2 45 1 41.84 28 
216 262 7 1 6.63 AM 15 0.6986 s_2 52 2 41.84 29 
262 262 1 1 7.13 AM 15 0 s_2 52 2 41.84 29 
262 262 7 1 11.88 MD 15 0 s_2 52 2 41.84 29 
262 216 6 1 12.75 MD 30 0.6986 s_2 52 2 41.84 29 
216 215 2 1 6.63 AM 15 0.5328 s_2 12 1 41.84 30 
215 216 6 1 13.00 MD 60 0.5328 s_2 12 1 41.84 30 
216 262 2 1 6.63 AM 15 0.6986 s_2 9 2 41.84 31 
262 216 6 1 12.75 MD 30 0.6986 s_2 9 2 41.84 31 
216 215 2 1 11.63 MD 15 0.5328 s_2 8 2 41.84 32 
215 216 6 1 5.75 AM 30 0.5328 s_2 8 2 41.84 32 
216 18 3 2 6.333 AM 40 5.7911 s_2 71 1 41.84010417 48 
18 216 6 2 7.792 AM 35 5.7911 s_2 71 1 41.84010417 48 
216 359 1 1 8.375 AM 15 0.2507 s_2 71 1 41.84010417 48 
359 216 6 1 16.667 PM 20 0.2507 s_2 71 1 41.84010417 48 
216 359 5 1 10.25 MD 30 0.2507 s_2 67 2 41.84010417 49 
359 216 6 1 13.75 MD 30 0.2507 s_2 67 2 41.84010417 49 
216 241 4 2 14.625 MD 45 3.3959 s_2 63 2 41.84010417 63 
241 216 6 2 16.625 PM 45 3.3959 s_2 63 2 41.84010417 63 
216 318 1 2 3.875 MN 45 17.7073 s_2 50 1 41.84010417 76 
318 216 6 4 15.875 MD 15 17.7073 s_2 50 1 41.84010417 76 
216 44 7 2 6.5 AM 60 7.0184 s_2 20 1 41.84010417 77 
44 216 6 2 10.5 MD 60 7.0184 s_2 20 1 41.84010417 77 
216 359 2 1 12.375 MD 15 0.2507 s_2 16 1 41.84010417 78 
359 216 6 1 18.125 PM 15 0.2507 s_2 16 1 41.84010417 78 
216 235 1 2 10.42 MD 50 4.3501 s_2 73 2 41.84 100 
235 216 6 2 21.58 PM 50 4.3501 s_2 73 2 41.84 100 
216 242 1 2 7.25 AM 30 3.4147 s_2 40 2 41.84 101 
242 216 6 2 20.75 PM 30 3.4147 s_2 40 2 41.84 101 
216 79 1 4 8.42 AM 50 11.0253 s_2 25 2 41.84 102 
79 216 6 4 18.42 PM 50 11.0253 s_2 25 2 39.75 102 
216 79 1 4 5.50 AM 60 11.0253 s_2 21 2 41.84 103 
79 216 6 4 17.50 PM 60 11.0253 s_2 21 2 39.75 103 
216 7 1 2 13.33 MD 40 6.7904 s_2 18 1 41.84 104 
7 216 6 2 17.58 PM 30 6.7904 s_2 18 1 41.84 104 
216 22 7 2 9.833 AM 40 7.211 s_2 40 2 41.84010417 124 
22 216 6 2 13.917 MD 110 7.211 s_2 40 2 41.84010417 124 
216 187 2 2 15.333 MD 100 4.7482 s_2 19 2 41.84010417 125 
187 216 6 2 22.25 MN 90 4.7482 s_2 19 2 41.84010417 125 
216 18 1 2 7.75 AM 30 5.7911 s_2 31 1 41.84 175 
18 216 6 2 19.25 PM 30 5.7911 s_2 31 1 41.84 175 
216 109 1 2 7.92 AM 50 12.5741 s_2 30 1 37.66 176 
109 216 6 2 21.67 PM 40 12.5741 s_2 30 1 41.84 176 
216 329 1 4 6.33 AM 40 13.8733 s_2 28 1 50.21 177 
329 216 6 4 19.17 PM 40 13.8733 s_2 28 1 41.84 177 
216 216 2 1 6.58 AM 20 0 s_2 8 2 41.84 178 
216 216 6 1 11.83 MD 20 0 s_2 8 2 41.84 178 
216 215 4 1 6.708 AM 25 0.5328 s_2 56 2 41.84010417 189 
215 216 6 1 8.835 AM 19.8 0.5328 s_2 56 2 41.84010417 189 
216 215 7 1 12.167 MD 20 0.5328 s_2 25 2 41.84010417 190 
215 216 6 1 13.335 MD 19.8 0.5328 s_2 25 2 41.84010417 190 
216 216 2 1 8.583 AM 10 0 s_2 5 1 41.84010417 191 
216 216 6 1 15.915 MD 10.2 0 s_2 5 1 41.84010417 191 
216 170 1 2 5.167 AM 80 6.1921 s_2 38 1 41.84010417 207 
170 216 6 2 19 PM 60 6.1921 s_2 38 1 41.84010417 207 
216 23 5 2 8.333 AM 40 7.473 s_2 40 2 41.84010417 208 
23 216 6 2 16.998 PM 80.2 7.473 s_2 40 2 41.84010417 208 
216 356 2 1 11.875 MD 15 0.4974 s_2 16 2 41.84010417 209 
356 216 6 1 17.875 PM 15 0.4974 s_2 16 2 41.84010417 209 
216 95 1 4 6 AM 60 13.0129 s_2 18 1 38.91129688 210 
95 216 6 4 21.5 PM 60 13.0129 s_2 18 1 41.84010417 210 
216 356 2 1 11.875 MD 15 0.4974 s_2 13 1 41.84010417 211 
356 216 6 1 17.875 PM 15 0.4974 s_2 13 1 41.84010417 211 
216 356 2 1 11.875 MD 15 0.4974 s_2 14 1 41.84010417 212 
356 216 6 1 17.875 PM 15 0.4974 s_2 14 1 41.84010417 212 
216 229 2 2 5.75 AM 30 3.9828 s_2 27 1 41.84 233 
229 216 6 2 18.25 PM 30 3.9828 s_2 27 1 41.84 233 
216 79 2 4 7.83 AM 40 11.0253 s_2 23 1 38.91 234 
79 216 6 4 21.17 PM 40 11.0253 s_2 23 1 41.84 234 
216 60 1 3 7.75 AM 30 8.1112 s_2 24 1 41.84 235 
60 216 6 3 17.25 PM 30 8.1112 s_2 24 1 50.21 235 
216 356 2 1 6.13 AM 15 0.4974 s_2 13 2 41.84 236 
356 216 6 1 13.38 MD 15 0.4974 s_2 13 2 41.84 236 
216 5 1 2 6.92 AM 50 6.2008 s_2 42 1 41.84 237 
5 216 6 2 21.08 PM 50 6.2008 s_2 42 1 41.84 237 
216 216 2 1 6.67 AM 20 0 s_2 21 2 41.84 258 
216 216 6 1 18.17 PM 20 0 s_2 21 2 41.84 258 
216 10 1 2 6.50 AM 60 6.2776 s_2 19 2 41.84 259 
10 216 6 2 20.75 PM 30 6.2776 s_2 19 2 41.84 259 
216 377 1 2 6.50 AM 60 9.0833 s_2 41 2 37.66 282 
377 216 6 2 20.50 PM 60 9.0833 s_2 41 2 41.84 282 
216 226 2 1 6.13 AM 15 2.8234 s_2 16 1 41.84 283 
226 216 6 1 12.38 MD 15 2.8234 s_2 16 1 41.84 283 
216 179 2 4 10.42 MD 50 5.4352 s_2 18 1 41.84 284 
179 216 6 4 18.50 PM 60 5.4352 s_2 18 1 39.75 284 
216 216 2 1 12.54 MD 25.2 0 s_2 17 2 41.84010417 308 
216 216 2 1 13.877 MD 24.8 0 s_2 17 2 41.84010417 308 
216 306 1 4 6.67 AM 80 14.9794 s_2 60 1 50.21 322 
306 216 6 4 21.50 PM 60 14.9794 s_2 60 1 41.84 322 
216 11 1 2 7.33 AM 40 5.857 s_2 27 1 41.84 323 
11 216 6 2 18.17 PM 40 5.857 s_2 27 1 41.84 323 
216 60 1 4 6.50 AM 60 8.1112 s_2 23 2 38.91 324 
60 216 6 4 19.50 PM 60 8.1112 s_2 23 2 41.84 324 
216 221 4 5 8.13 AM 15 1.5468 s_2 41 2 41.84 339 
221 216 4 5 10.88 MD 15 1.5468 s_2 41 2 41.84 339 
216 216 2 1 12.13 MD 15 0 s_2 13 2 41.84 340 
216 216 6 1 18.38 PM 15 0 s_2 13 2 41.84 340 
216 216 2 1 6.63 AM 15 0 s_2 10 2 41.84 341 
216 216 6 1 11.83 MD 20 0 s_2 10 2 41.84 341 
216 358 2 1 7.13 AM 15 0.6863 s_2 9 2 41.84 353 
358 216 6 1 12.88 MD 15 0.6863 s_2 9 2 41.84 353 
216 182 2 2 12.50 MD 60 5.0258 s_2 23 2 41.84 354 
182 216 6 2 18.00 PM 60 5.0258 s_2 23 2 41.84 354 
216 193 1 2 14.50 MD 60 2.6678 s_2 19 2 41.84 382 
193 216 6 2 22.08 MN 50 2.6678 s_2 19 2 41.84 382 
216 136 1 2 6.50 AM 60 9.7298 s_2 49 1 37.66 390 
136 216 6 2 18.50 PM 60 9.7298 s_2 49 1 41.84 390 
216 11 1 2 13.33 MD 40 5.857 s_2 27 2 41.84 391 
11 216 6 2 18.17 PM 40 5.857 s_2 27 2 41.84 391 
216 329 1 4 5.375 AM 75 13.8733 s_2 27 1 41.84010417 413 
329 216 6 4 15.5 MD 60 13.8733 s_2 27 1 41.84010417 413 
216 104 1 4 5.375 AM 75 9.7661 s_2 27 2 41.84010417 414 
104 216 6 4 14.875 MD 105 9.7661 s_2 27 2 41.84010417 414 
216 216 2 1 7.583 AM 10 0 s_2 5 1 41.84010417 415 
216 216 6 1 16.083 PM 10 0 s_2 5 1 41.84010417 415 
216 232 7 2 10.333 MD 40 4.4438 s_2 31 2 41.84010417 424 
232 216 6 2 14.665 MD 40.2 4.4438 s_2 31 2 41.84010417 424 
216 216 2 1 12.125 MD 15 0 s_2 12 1 41.84010417 425 
216 216 6 1 18.875 PM 15 0 s_2 12 1 41.84010417 425 
216 216 2 1 12.125 MD 15 0 s_2 14 2 41.84010417 426 
216 216 6 1 18.875 PM 15 0 s_2 14 2 41.84010417 426 
216 5 1 2 6.75 AM 30 6.2008 s_2 24 2 41.84010417 451 
5 216 6 2 18.75 PM 30 6.2008 s_2 24 2 41.84010417 451 
216 5 1 2 6.75 AM 30 6.2008 s_2 17 1 41.84010417 452 
5 216 6 2 18.75 PM 30 6.2008 s_2 17 1 41.84010417 452 
216 355 2 1 6.083 AM 10 0.6891 s_2 4 2 41.84010417 453 
355 216 6 1 12.915 MD 10.2 0.6891 s_2 4 2 41.84010417 453 
216 96 1 2 5.50 AM 60 12.3466 s_2 48 2 41.84 473 
96 216 6 2 18.50 PM 60 12.3466 s_2 48 2 41.84 473 
216 216 2 1 12.63 MD 15 0 s_2 16 2 41.84 474 
216 216 6 1 18.63 PM 15 0 s_2 16 2 41.84 474 
216 11 3 2 8.25 AM 30 5.857 s_2 65 2 41.84010417 495 
11 216 6 2 11.25 MD 30 5.857 s_2 65 2 41.84010417 495 
216 356 2 1 6.333 AM 10 0.4974 s_2 13 1 41.84010417 496 
356 216 6 1 12.915 MD 10.2 0.4974 s_2 13 1 41.84010417 496 
216 72 1 2 7 AM 60 11.1873 s_2 35 1 41.84010417 514 
72 216 6 2 17.5 PM 60 11.1873 s_2 35 1 41.84010417 514 
216 6 1 2 6.75 AM 30 6.6708 s_2 35 2 41.84010417 515 
6 216 6 2 15.75 MD 30 6.6708 s_2 35 2 41.84010417 515 
216 30 4 2 14.25 MD 30 6.7901 s_2 63 1 41.84010417 528 
30 216 6 2 19.75 PM 30 6.7901 s_2 63 1 41.84010417 528 
216 30 1 2 5.5 AM 60 6.7901 s_2 35 2 41.84010417 529 
30 216 6 2 17.5 PM 60 6.7901 s_2 35 2 41.84010417 529 
216 44 1 2 8.417 AM 50 7.0184 s_2 30 1 41.84010417 530 
44 216 6 2 20.5 PM 60 7.0184 s_2 30 1 41.84010417 530 
216 226 2 1 6.125 AM 15 2.8234 s_2 18 2 41.84010417 531 
226 216 6 1 12.375 MD 15 2.8234 s_2 18 2 41.84010417 531 
216 30 2 1 12.125 MD 15 6.7901 s_2 15 2 41.84010417 532 
30 216 6 1 18.875 PM 15 6.7901 s_2 15 2 41.84010417 532 
216 226 2 1 6.125 AM 15 2.8234 s_2 13 1 41.84010417 533 
226 216 6 1 12.375 MD 15 2.8234 s_2 13 1 41.84010417 533 
215 387 1 4 5.5 AM 60 8.532 s_2 33 1 41.5107438 541 
387 215 6 4 15.417 MD 50 8.532 s_2 33 1 41.5107438 541 
215 82 1 4 8.75 AM 90 12.221 s_2 53 2 41.51 555 
82 215 6 4 18.25 PM 90 12.221 s_2 53 2 39.44 555 
215 261 1 2 8.13 AM 15 1.579 s_2 14 2 41.51 556 
261 215 6 2 18.17 PM 20 1.579 s_2 14 2 41.51 556 
215 20 1 2 7.71 AM 25 6.5415 s_2 26 1 41.51 560 
20 215 6 2 18.13 PM 45 6.5415 s_2 26 1 41.51 560 
215 20 1 6 7.75 AM 30 6.5415 s_2 20 1 41.51 561 
20 24 6 6 18.13 PM 45 0.8894 s_2 20 1 41.51 561 
215 337 1 4 5.00 AM 120 20.3207 s_2 55 2 41.51 564 
337 215 6 4 15.75 MD 90 20.3207 s_2 55 2 41.51 564 
215 215 1 1 9.083 AM 10 0 s_2 20 1 41.5107438 596 
215 215 6 1 22.375 MN 15 0 s_2 20 1 41.5107438 596 
215 62 1 2 6.75 AM 60 8.9657 s_2 45 2 41.5107438 606 
